[2015-05-23 15:40:49] Loader added at [-427,165,731] in the overworld, owner=Gr8Gildersleeve, #chunks=3
[2015-05-23 15:40:49] Loader removed (chunks will stay loaded for one second) at [-427,165,731] in the overworld, owner=Gr8Gildersleeve, #chunks=3
[2015-05-23 15:40:49] Loader added at [-427,165,731] in the overworld, owner=Gr8Gildersleeve, #chunks=9
[2015-05-23 15:40:49] Loader removed (chunks will stay loaded for one second) at [-427,165,731] in the overworld, owner=Gr8Gildersleeve, #chunks=9
[2015-05-23 15:40:49] Loader added at [-427,165,731] in the overworld, owner=Gr8Gildersleeve, #chunks=3
[2015-05-23 15:40:50] Loader removed (chunks will stay loaded for one second) at [-427,165,731] in the overworld, owner=Gr8Gildersleeve, #chunks=3
[2015-05-23 15:40:50] Loader added at [-427,165,731] in the overworld, owner=Gr8Gildersleeve, #chunks=3
[2015-05-23 15:40:50] Loader removed (chunks will stay loaded for one second) at [-427,165,731] in the overworld, owner=Gr8Gildersleeve, #chunks=3
[2015-05-23 15:40:50] Loader added at [-427,165,731] in the overworld, owner=Gr8Gildersleeve, #chunks=9
[2015-05-23 15:40:52] Loader removed (chunks will stay loaded for one second) at [-427,165,731] in the overworld, owner=Gr8Gildersleeve, #chunks=9
[2015-05-23 15:40:52] Loader added at [-427,165,731] in the overworld, owner=<server>, #chunks=9
[2015-05-23 15:41:07] Loader added at [-411,165,754] in the overworld, owner=<data lost; report this bug>, #chunks=0
[2015-05-23 15:41:07] Loader removed (chunks will stay loaded for one second) at [-411,165,754] in the overworld, owner=<data lost; report this bug>, #chunks=0
[2015-05-23 15:41:07] Loader added at [-411,165,754] in the overworld, owner=<data lost; report this bug>, #chunks=1
[2015-05-23 15:41:07] Loader validated at [-411,165,754] in the overworld, owner=<data lost; report this bug>, #chunks=1
[2015-05-23 15:41:07] Loader removed (chunks will stay loaded for one second) at [-411,165,754] in the overworld, owner=<data lost; report this bug>, #chunks=1
[2015-05-23 15:41:07] Loader added at [-411,165,754] in the overworld, owner=Gr8Gildersleeve, #chunks=1
[2015-05-23 15:41:09] Loader removed (chunks will stay loaded for one second) at [-411,165,754] in the overworld, owner=Gr8Gildersleeve, #chunks=1
[2015-05-23 15:41:09] Loader added at [-411,165,754] in the overworld, owner=<server>, #chunks=1
[2015-05-23 15:42:32] Loader added at [219,89,1274] in the overworld, owner=<data lost; report this bug>, #chunks=0
